junction Name,Latitude,Longitude
Jalahalli Jn.,13.0399874,77.5183886
TVS Cross,13.0284781,77.5196584
SBM JUNCTION,13.0258278,77.5207417
Peenya Police Station,13.0379618,77.5220273
SRS Jn.,13.0346923,77.5295278
"CHAUNDARAYA CIRCLE / UDAYA TV (ROTARY) JUNCTION,",12.9935555,77.595696
Chandrika Junction,12.9896237,77.5927743
"KRISHNA FLOOR MILL JUNCTION,",12.9848841,77.5721092
LINK ROAD-MALLESHWARAM JUNCTION,12.9919019,77.5754094
LRDE Junction,12.9859407,77.589582
PLATFORM ROAD JUNCTION,12.982452,77.5681535
Shivananda Circle Jn,12.9865152,77.5796804
SUBEDHAR CHATRAM ROAD JUNCTION ,12.9878363,77.5742802
Arakere Gate Junction,12.8905886,77.5980766
Bileka halli Junction,12.9020405,77.60111
29 th BTM Road Junction,12.9164258,77.6152006
28th main Jayanagar 9th block Junction,12.9167881,77.5951032
Gurappanapalya Junction,12.9205772,77.6001343
Hulimavu Junction,12.8731541,77.5942314
Dairy Circle,12.9371689,77.6016952
J.D. Mara Junction,12.9106515,77.5999565
Jayadeva Hospital (BTM Layout) Junction,12.9166967,77.5998526
Marenahalli 18th Main petrol bunk Junction,12.916958,77.5894944
Swagat Main Road Junction,12.9285297,77.5925126
Sagar Apollo Junction,12.9283315,77.6004935
B.M. SHRI (CMH & 100 FT. ROAD) JUNCTION,12.9783495,77.6408291
"BEML GATE JUNCTION (SURANJANDAS ROAD JN),",12.9712564,77.6587261
"BIG BAZAAR JUNCTION (PHARMED FACTORY JN), ",12.9942511,77.6634609
"BYAPPANAHALLI JUNCTION (SURANJANDAS & OM ROAD), ",12.9870272,77.6481187
Indiranagar 13th Main( 80ft Rd- JB Rd),12.9688586,77.6477418
CMH ROAD & INDIRANAGAR 80 FT. ROAD JUNCTION (13TH MN. & 80 FT),12.9785403,77.6465475
INDIRANAGAR ESI HOSPITAL JUNCTION,12.9701941,77.6412154
OM ROAD-BMTC DEPOT JUNCTION,12.9823956,77.6338125
OLD MADRAS ROAD & DOUBLE ROAD JUNCTION (PS JUNCTION),12.9829183,77.6374174
OLD MADRAS ROAD & INDIRANAGAR 80FT RD.JUNCTION,12.98581,77.6450621
"OLD MADRAS ROAD & INDIRANAGAR 100 FT. ROAD JUNCTION,",12.9840928,77.6405184
OM Road xÂ SUDDAGUNTE PALYA JUNCTION,12.9900846,77.6547422
"Dr. Rajkumar Road, 10th cross Junction",13.0043853,77.553771
"Dr. Rajkumar Road, 17th cross Junction",13.0081673,77.5544308
Karnataka Bhavan Junction,12.9818969,77.5642569
"Malleswaram 18th Cross Junction, Sampige rd Junction",13.0084879,77.5711579
Malleswaram 8th Main 18th cross Junction,13.0076073,77.5639806
Margosa 18th Cross Junction,13.0085914,77.5691303
Mill Corner Junction (Sampige road ),12.9933716,77.5714633
Modi Bridge Junction,12.997636,77.5502583
Rajajinagar 19th Main Junction,12.9977464,77.5510637
RRR (Okalipuram) Junction,12.9819827,77.5666876
"ARBINDO CIRCLE JUNCTION, ",12.9170329,77.5857561
Canara Bank Jn,12.9307674,77.5837906
"DELMIA - JAYANAGAR JUNCTION, ",12.9062977,77.5949765
Geeta Circle Jn,12.9286259,77.5860471
JAYANAGAR 27TH CROSS JUNCTION (JAYANAGAR 4TH MAIN),12.9308428,77.5801665
J.P. NAGAR 15TH CROSS JUNCTION (JP NAGAR 24TH MAIN)-UNDERPASS,12.9063829,77.585655
J.P. NAGAR 9TH CROSS & 24TH MAIN JUNCTION,12.910509,77.5856477
PUTTANNA JUNCTION,12.9286622,77.5837755
"RAJALAXMI KALYANA MANTAPA,",12.9171075,77.5802414
South End Circle Jn,12.93674,77.5801091
SYNDICATE BANK CIRCLE-JAYANAGAR,12.9330877,77.5838387
"Basavamantappa circle Junction, Dr. Rajkumar Road",12.9833328,77.5601967
Cholur Palya Junction,12.9739598,77.5496167
Leproy Hospital Circle Junction (Hunsemara),12.9758651,77.5643833
M.C. Circle,12.975003,77.5483905
FIRE FORCE JUNCTION (WCR 72ND CROSS JN) RAJAJINAGAR,12.9808458,77.5489739
RING ROAD NEAR KENGUNTE JUNCTION,12.9605082,77.5043548
RING ROAD -ULLAL JUNCTION,12.9519936,77.4997394
SRIGANDAKAVALU JUNCTION,12.9879593,77.5122295
Sumanahalli Jn,12.9872916,77.5193441
BASAPPA CIRCLE JUNCTION,12.9563491,77.5773583
BHARAT TALKIES JUNCTION,12.9577597,77.5821329
MINERVA CIRCLE JUNCTION,12.9552189,77.5798664
K.R. MARKET JUNCTION,12.9642001,77.5768432
Automart Junction,12.9237233,77.6400977
Ayappa Temple Junction,12.9245899,77.6181274
Bommanahalli Junction,12.9070884,77.6288468
Garvebavipalya Junction,12.8957605,77.6358792
Iblur Junction (Sarjapur Road),12.9205235,77.6653576
Koodlu Junction,12.8892172,77.6398699
Madiwala Check Post Junction,12.9318204,77.6137185
Sarjapur road - Check post Junction,12.929657,77.6151275
Silk Board Junction,12.917147,77.6226606
Agara Junction,12.9246568,77.6486027
Sarjapura WIPRO Jn,12.9110397,77.6837083
HSR 14th Main Junction,12.9159231,77.638238
Hoodi Jn,12.9922897,77.7159973
Ramamurthy Nagar Jn,13.0131994,77.6622444
Doddanakundi Jn,12.9795726,77.6947363
Devasandra,13.0083504,77.695852
ESI Hospital,12.9929439,77.7057197
Kanakpura - Ring Road Junction,12.9064391,77.5732566
Konanakunte Junction (Kanakapur Road),12.8894704,77.5634726
Gowdanpalya Jn,12.9115185,77.5584309
Uttharahalli Jn.,12.9057887,77.5426835
Kadrenahalli Jn.,12.9157125,77.5614474
Prasanna Junction,12.9750109,77.5523376
Hosur Main Road Infront of Oxford College,12.9011194,77.6324701
Tavarekere Road St Johns Woods Junction,12.9311211,77.6098725
BTM 29th Main Road Raj Lake View Junction,12.9054467,77.6093993
PK Kalyan Mantap Beguru Main Road,12.8819857,77.6247294
Akshaya Nagar Junction DLF Main Road,12.876046,77.6168935
Sai Temple Junction 80 feet Road BTM 4th Stage,12.88319,77.6089065
"Koramangala 3rd Block, 7th Cross Road & 8th Main Road Junction",12.9299988,77.6292108
Bettadasanpura Dodda Togur Junction,12.8507685,77.655167
"Mangammanapalya Salarpuria Junction
",12.9026597,77.6316066
"Belathuru-Kadugodi Hoskote Main Road
",13.0041646,77.7569704
"Wheeler Road, Coles Road wheeler Road Junction( Kirthi Sagar Junction)
",12.9943615,77.6157683
"Banasawadi Main Road Jeevanhalli Junction
",13.0014399,77.6297674
"Jayanti Village Junction, Horamavu Main Road
",13.0287229,77.6637405
"5th Main HRBR Layout, 2nd Block Kullappa Circle
",13.0140204,77.6392981
"Bangalore one Junction, Avalahalli Main Road
",12.9435334,77.538692
"Balaji Silk House Junction, Chandra layout Main Road
",12.9605735,77.5296392
"R R Temple Main Road Jayanna Circle Junction
",12.9263553,77.5145624
"Kempegowda Double Road Kanakadas Circle R R Nagar
",12.9148562,77.5206531
"Jalahalli P S Junction, H M T Road
",13.0488553,77.5501345
"Hennur Main Road, Vaddarapallya Junction
",13.0395269,77.6414841
"Chandragiri Palace Junction, Chandralayout Main Road
",12.9582874,77.5263402
"Pipleline Road, Basaveshwara Bus Stand Junction
",13.0437336,77.5253231
"Jayanagara 11th Main 38th Cross Junction (Shalini Junction)
",12.9217352,77.5859293
"Gangothri Junction, Maruti Nagar Main Road
",12.9939127,77.4947347
"Pipeline Junction BFW Road
",13.0367708,77.5350656
"KR Road 14th Cross
",12.929506,77.5736423
"Marigowda x Tawarkere jn
",12.9347211,77.6097413
"CID- Carlton House Jn
",12.9843015,77.5821921
"CIL Cross Junction, Jayamahal Road
",13.0118633,77.5954705
"Upparpet Junction
",12.9743914,77.574611
"Pai Jn, Jayanagar Junction
",12.9062844,77.5919066
"Toll gate, Mysore road
",12.9574031,77.5521121
"Devanahalli new bus stand
",13.2453104,77.7127772
"Puttenhalli Jn
",12.892214,77.5818894
"Santhe Circle
",13.0990748,77.5972839
"Jayanagar 4th Main, 36th cross
",12.923446,77.5802773
"Nettakallappa circle
",12.9401727,77.5732589
Nagarbhavi Jn,12.9608769,77.5127562
Queens Statue Circle Junction,"12.960995881398937,",77.5127623585987
Anil Kumble Circle Junction,12.97656,77.60179
Arts and craft Circle Junction,12.97512,77.60796
Mayo Hall,12.97432,77.61109
Webbs Circle Junction,12.97375,77.61387
Trinity Circle Junction,12.97251,77.61954
General KS Thimmayya Road -Trinity Church,12.97157,77.61953
Begum Mahal Junction,12.97475,77.62003
Adigas Junction,12.97631,77.61471
Manipal Centre Junction,12.9753,77.61439
Kamraj Junction,12.97719,77.60872
Shivaji Nagar Junction,12.97923,77.60244
Opera Junction,12.97189,77.60706
Ashirwadam Junction,12.9709,77.60477
Old Police station Junction,12.96775,77.60635
Ashok Nagar Junction Shoolay Circle,12.96624,77.60679
Johnson Market,12.96439,77.60672
Mother Theresa Junction,12.96664,77.60872
Campbell Junction,12.96504,77.60997
D'Souza Junction,12.96713,77.61116
Garuda Mall Junction,12.97036,77.61027
Kensington Oval Junction,12.97278,77.62005
Tamari Kannan Junction,12.98169,77.62847
Anjaneya Temple Junction,12.9816,77.63131
OM rd & Double Junction Rd,12.98289,77.63742
OM rd & Indiranagar 100 ft Junction,12.98408,77.64052
CMH RdAdarsh Theatre Junction,12.97845,77.62881
Swami Vivekananda Rd- Cambridge Rd Bazar Street,12.97501,77.62537
OM Rd & Indiranagar 80 ft Junction,12.98569,77.6451
